Periodo,Categoría,Estancia media,DATA
2019M10,Camping de 1Ş,Estancia media Residentes en Espańa,2.09
2019M10,Camping de 1Ş,Estancia media No residentes en Espańa,1.64
2019M10,Camping de 2Ş y 3Ş,Estancia media,
2019M10,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2019M10,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2019M11,TOTAL,Estancia media,2.49
2019M11,TOTAL,Estancia media Residentes en Espańa,2.58
2019M11,TOTAL,Estancia media No residentes en Espańa,1.57
2019M11,Camping de 1Ş,Estancia media,2.54
2019M11,Camping de 1Ş,Estancia media Residentes en Espańa,2.61
2019M11,Camping de 1Ş,Estancia media No residentes en Espańa,1.51
2019M11,Camping de 2Ş y 3Ş,Estancia media,
2019M11,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2019M11,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2019M12,TOTAL,Estancia media,1.5
2019M12,TOTAL,Estancia media Residentes en Espańa,1.55
2019M12,TOTAL,Estancia media No residentes en Espańa,0.77
2019M12,Camping de 1Ş,Estancia media,1.49
2019M12,Camping de 1Ş,Estancia media Residentes en Espańa,1.53
