Periodo,CCAA de residencia,Medida,DATA
2016M10,Galicia,Viajeros,48.99
2016M10,Galicia,Pernoctaciones,118.61
2016M10,"Madrid, Comunidad de",Viajeros,1271.21
2016M10,"Madrid, Comunidad de",Pernoctaciones,2913.72
2016M10,"Murcia, Región de",Viajeros,
2016M10,"Murcia, Región de",Pernoctaciones,
2016M10,"Navarra, Comunidad Foral de",Viajeros,206.28
2016M10,"Navarra, Comunidad Foral de",Pernoctaciones,376.46
2016M10,País Vasco,Viajeros,1147.44
2016M10,País Vasco,Pernoctaciones,2256.2
2016M10,"Rioja, La",Viajeros,229.49
2016M10,"Rioja, La",Pernoctaciones,489.92
2016M10,Canarias,Viajeros,
2016M10,Canarias,Pernoctaciones,
2016M10,Ceuta,Viajeros,
2016M10,Ceuta,Pernoctaciones,
2016M10,Melilla,Viajeros,
2016M10,Melilla,Pernoctaciones,
2016M11,TOTAL,Viajeros,2738.38
2016M11,TOTAL,Pernoctaciones,5234.38
2016M11,NO RESIDENTE EN ESPAŃA,Viajeros,56.73
2016M11,NO RESIDENTE EN ESPAŃA,Pernoctaciones,82.51
2016M11,RESIDENTES EN ESPAŃA,Viajeros,2681.65
2016M11,RESIDENTES EN ESPAŃA,Pernoctaciones,5151.87
2016M11,Andalucía,Viajeros,5.16
2016M11,Andalucía,Pernoctaciones,5.16
2016M11,Aragón,Viajeros,134.08
2016M11,Aragón,Pernoctaciones,273.32
2016M11,"Asturias, Principado de",Viajeros,
2016M11,"Asturias, Principado de",Pernoctaciones,
2016M11,"Balears, Illes",Viajeros,
2016M11,"Balears, Illes",Pernoctaciones,
2016M11,Cantabria,Viajeros,43.83
2016M11,Cantabria,Pernoctaciones,95.4
2016M11,Castilla y León,Viajeros,324.89
2016M11,Castilla y León,Pernoctaciones,691.04
2016M11,Castilla - La Mancha,Viajeros,10.31
2016M11,Castilla - La Mancha,Pernoctaciones,25.79
2016M11,Cataluńa,Viajeros,216.6
2016M11,Cataluńa,Pernoctaciones,407.4
2016M11,Comunitat Valenciana,Viajeros,82.51
2016M11,Comunitat Valenciana,Pernoctaciones,139.24
2016M11,Extremadura,Viajeros,
2016M11,Extremadura,Pernoctaciones,
2016M11,Galicia,Viajeros,10.31
2016M11,Galicia,Pernoctaciones,15.47
2016M11,"Madrid, Comunidad de",Viajeros,683.31
2016M11,"Madrid, Comunidad de",Pernoctaciones,1281.52
2016M11,"Murcia, Región de",Viajeros,2.58
2016M11,"Murcia, Región de",Pernoctaciones,2.58
2016M11,"Navarra, Comunidad Foral de",Viajeros,103.14
2016M11,"Navarra, Comunidad Foral de",Pernoctaciones,206.28
2016M11,País Vasco,Viajeros,587.9
2016M11,País Vasco,Pernoctaciones,1098.45
2016M11,"Rioja, La",Viajeros,456.4
2016M11,"Rioja, La",Pernoctaciones,868.96
2016M11,Canarias,Viajeros,
2016M11,Canarias,Pernoctaciones,
2016M11,Ceuta,Viajeros,20.63
2016M11,Ceuta,Pernoctaciones,41.26
2016M11,Melilla,Viajeros,
2016M11,Melilla,Pernoctaciones,
2016M12,TOTAL,Viajeros,3304.51
2016M12,TOTAL,Pernoctaciones,7699.46
2016M12,NO RESIDENTE EN ESPAŃA,Viajeros,28.09
2016M12,NO RESIDENTE EN ESPAŃA,Pernoctaciones,58.74
2016M12,RESIDENTES EN ESPAŃA,Viajeros,3276.42
2016M12,RESIDENTES EN ESPAŃA,Pernoctaciones,7640.73
2016M12,Andalucía,Viajeros,28.09
2016M12,Andalucía,Pernoctaciones,45.97
2016M12,Aragón,Viajeros,263.03
2016M12,Aragón,Pernoctaciones,612.89
2016M12,"Asturias, Principado de",Viajeros,79.17
2016M12,"Asturias, Principado de",Pernoctaciones,227.28
2016M12,"Balears, Illes",Viajeros,5.11
2016M12,"Balears, Illes",Pernoctaciones,10.21
2016M12,Cantabria,Viajeros,45.97
2016M12,Cantabria,Pernoctaciones,91.93
2016M12,Castilla y León,Viajeros,232.39
2016M12,Castilla y León,Pernoctaciones,467.33
2016M12,Castilla - La Mancha,Viajeros,58.74
2016M12,Castilla - La Mancha,Pernoctaciones,186.42
2016M12,Cataluńa,Viajeros,275.8
2016M12,Cataluńa,Pernoctaciones,806.98
2016M12,Comunitat Valenciana,Viajeros,148.12
2016M12,Comunitat Valenciana,Pernoctaciones,388.17
2016M12,Extremadura,Viajeros,
2016M12,Extremadura,Pernoctaciones,
2016M12,Galicia,Viajeros,7.66
2016M12,Galicia,Pernoctaciones,7.66
