Periodo,Categoría,Residencia viajero,DATA,Fecha
2017M03,4 y 5 estrellas,TOTAL,11170,2017-03-01
2017M03,4 y 5 estrellas,Residentes en Espańa,980574,2017-03-01
2017M03,4 y 5 estrellas,No residentes en Espańa,136426,2017-03-01
2017M03,3 estrellas,TOTAL,22291,2017-03-01
2017M03,3 estrellas,Residentes en Espańa,1951486,2017-03-01
2017M03,3 estrellas,No residentes en Espańa,277614,2017-03-01
2017M03,1 y 2 estrellas,TOTAL,188214,2017-03-01
2017M03,1 y 2 estrellas,Residentes en Espańa,171829,2017-03-01
2017M03,1 y 2 estrellas,No residentes en Espańa,16386,2017-03-01
2017M03,Hostales y pensiones,TOTAL,506459,2017-03-01
2017M03,Hostales y pensiones,Residentes en Espańa,45169,2017-03-01
2017M03,Hostales y pensiones,No residentes en Espańa,54769,2017-03-01
2017M04,TOTAL,TOTAL,5592444,2017-04-01
2017M04,TOTAL,Residentes en Espańa,4514983,2017-04-01
2017M04,TOTAL,No residentes en Espańa,1077461,2017-04-01
2017M04,4 y 5 estrellas,TOTAL,14763,2017-04-01
2017M04,4 y 5 estrellas,Residentes en Espańa,124785,2017-04-01
2017M04,4 y 5 estrellas,No residentes en Espańa,22845,2017-04-01
2017M04,3 estrellas,TOTAL,29031,2017-04-01
2017M04,3 estrellas,Residentes en Espańa,236367,2017-04-01
2017M04,3 estrellas,No residentes en Espańa,53943,2017-04-01
2017M04,1 y 2 estrellas,TOTAL,3120,2017-04-01
2017M04,1 y 2 estrellas,Residentes en Espańa,280286,2017-04-01
2017M04,1 y 2 estrellas,No residentes en Espańa,31714,2017-04-01
2017M04,Hostales y pensiones,TOTAL,901044,2017-04-01
2017M04,Hostales y pensiones,Residentes en Espańa,623177,2017-04-01
