Periodo,Tipo de establecimiento,CCAA,DATA
2005M12,Apartamentos,La Rioja,307.0
2005M12,Apartamentos,Espańa,796.0
2006M01,Hoteles,La Rioja,172.0
2006M01,Hoteles,Espańa,302.0
2006M01,Camping,La Rioja,267.0
2006M01,Camping,Espańa,816.0
2006M01,Turismo Rural,La Rioja,256.0
2006M01,Turismo Rural,Espańa,267.0
2006M01,Apartamentos,La Rioja,241.0
2006M01,Apartamentos,Espańa,892.0
2006M02,Hoteles,La Rioja,179.0
2006M02,Hoteles,Espańa,281.0
2006M02,Camping,La Rioja,225.0
2006M02,Camping,Espańa,679.0
2006M02,Turismo Rural,La Rioja,214.0
2006M02,Turismo Rural,Espańa,24.0
2006M02,Apartamentos,La Rioja,22.0
2006M02,Apartamentos,Espańa,803.0
2006M03,Hoteles,La Rioja,175.0
2006M03,Hoteles,Espańa,284.0
2006M03,Camping,La Rioja,244.0
2006M03,Camping,Espańa,5.0
2006M03,Turismo Rural,La Rioja,214.0
2006M03,Turismo Rural,Espańa,241.0
2006M03,Apartamentos,La Rioja,24.0
2006M03,Apartamentos,Espańa,843.0
2006M04,Hoteles,La Rioja,183.0
2006M04,Hoteles,Espańa,29.0
2006M04,Camping,La Rioja,273.0
2006M04,Camping,Espańa,362.0
2006M04,Turismo Rural,La Rioja,294.0
2006M04,Turismo Rural,Espańa,294.0
2006M04,Apartamentos,La Rioja,251.0
2006M04,Apartamentos,Espańa,675.0
2006M05,Hoteles,La Rioja,167.0
2006M05,Hoteles,Espańa,313.0
2006M05,Camping,La Rioja,251.0
2006M05,Camping,Espańa,392.0
2006M05,Turismo Rural,La Rioja,226.0
2006M05,Turismo Rural,Espańa,25.0
2006M05,Apartamentos,La Rioja,196.0
2006M05,Apartamentos,Espańa,725.0
2006M06,Hoteles,La Rioja,184.0
2006M06,Hoteles,Espańa,343.0
2006M06,Camping,La Rioja,26.0
2006M06,Camping,Espańa,382.0
2006M06,Turismo Rural,La Rioja,225.0
