Periodo,Municipio,Indicador,Categoría,DATA
2016-04-01,Ezcaray,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,44.71522456461961
2016-04-01,Ezcaray,Ingreso por habitación disponible (RevPAR),1 estrella de plata,44.71522456461961
2016-04-01,Logrońo,Facturación media por cada habitación ocupada (ADR),TOTAL,58.48
2016-04-01,Logrońo,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,65.38
2016-04-01,Logrońo,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,59.69
2016-04-01,Logrońo,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,44.71522456461961
2016-04-01,Logrońo,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,44.71522456461961
2016-04-01,Logrońo,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,27.3
2016-04-01,Logrońo,Ingreso por habitación disponible (RevPAR),TOTAL,37.44
2016-04-01,Logrońo,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,43.62
2016-04-01,Logrońo,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,43.26
2016-04-01,Logrońo,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,44.71522456461961
2016-04-01,Logrońo,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,44.71522456461961
2016-04-01,Logrońo,Ingreso por habitación disponible (RevPAR),1 estrella de plata,11.7
2016-04-01,Haro,Facturación media por cada habitación ocupada (ADR),TOTAL,64.81
2016-04-01,Haro,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,44.71522456461961
2016-04-01,Haro,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,44.71522456461961
2016-04-01,Haro,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,44.71522456461961
2016-04-01,Haro,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,44.71522456461961
2016-04-01,Haro,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,44.71522456461961
2016-04-01,Haro,Ingreso por habitación disponible (RevPAR),TOTAL,22.99
2016-04-01,Haro,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,44.71522456461961
2016-04-01,Haro,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,44.71522456461961
2016-04-01,Haro,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,44.71522456461961
2016-04-01,Haro,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,44.71522456461961
2016-04-01,Haro,Ingreso por habitación disponible (RevPAR),1 estrella de plata,44.71522456461961
2016-04-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),TOTAL,65.21
2016-04-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,44.71522456461961
2016-04-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,44.71522456461961
